tool,"benchmark","budget",runs,tgen,avgcovi,avgcovb,avgcovm
"randoop","GUAVA-181",30,10,31.535,0.9655172,0.87941181,0.98039215
"randoop","GUAVA-181",120,9,122.111555555556,0.9655172,0.882353,0.98039215
"randoop","GUAVA-192",30,10,1.194,0,0,0
"randoop","GUAVA-192",120,8,1.3355,0,0,0
"randoop","GUAVA-199",30,10,1.1944,0,0,0
"randoop","GUAVA-199",120,10,1.2901,0,0,0
"randoop","GUAVA-200",30,10,32.6629,0.13868613,0.08333334,0.2238806
"randoop","GUAVA-200",120,7,124.034142857143,0.13868613,0.08333334,0.2238806
"randoop","GUAVA-213",30,10,31.5631,0.9285714,0.8235294,0.95652176
"randoop","GUAVA-213",120,8,121.96525,0.9285714,0.8272058625,0.95652176
"randoop","GUAVA-226",30,10,1.1993,0,0,0
"randoop","GUAVA-226",120,8,1.2385,0,0,0
"randoop","GUAVA-227",30,10,1.1953,0,0,0
"randoop","GUAVA-227",120,9,1.24388888888889,0,0,0
"randoop","GUAVA-231",30,10,31.3008,0.1,0.0625,0.10344828
"randoop","GUAVA-231",120,8,121.443375,0.1,0.0625,0.10344828
"randoop","GUAVA-232",30,10,31.8769,0.2,0.15000001,0.26881721
"randoop","GUAVA-232",120,8,122.93825,0.2,0.15000001,0.26881721
"randoop","GUAVA-237",30,10,31.5495,0.5487805,0.33333336,0.575
"randoop","GUAVA-237",120,9,121.984222222222,0.5487805,0.33333336,0.575
"randoop","GUAVA-254",30,10,1.1958,0,0,0
"randoop","GUAVA-254",120,7,1.22871428571429,0,0,0
"randoop","GUAVA-267",30,10,31.8535,0.64724406,0.62923081,0.6775
"randoop","GUAVA-267",120,10,122.5227,0.65039368,0.636923122,0.6825
"randoop","GUAVA-273",30,10,31.8711,0.2109375,0.12962963,0
"randoop","GUAVA-273",120,8,122.620875,0.2109375,0.12962963,0
"randoop","GUAVA-46",30,10,31.9214,0.70754715,0.5471698,0.7291667
"randoop","GUAVA-46",120,9,123.198111111111,0.70754715,0.5471698,0.7291667
"randoop","GUAVA-61",30,10,1.2051,0,0,0
"randoop","GUAVA-61",120,9,1.28277777777778,0,0,0
"randoop","GUAVA-71",30,10,31.476,0.7857143,0.6666667,0
"randoop","GUAVA-71",120,6,121.890333333333,0.7857143,0.6666667,0
"randoop","GUAVA-82",30,10,31.7746,0.9611651,0.94117645,0.9774436
"randoop","GUAVA-82",120,7,122.657285714286,0.9611651,0.94117645,0.9774436
"randoop","GUAVA-96",30,10,31.743,0.044871798,0,0.04054054
"randoop","GUAVA-96",120,10,122.7037,0.044871798,0,0.04054054
"tardis","GUAVA-108",300,10,94.4757,0,0,0
"tardis","GUAVA-11",300,10,170.3625,0,0,0
"tardis","GUAVA-128",300,10,261.4575,0,0,0
"tardis","GUAVA-134",300,10,128.7088,0,0,0
"tardis","GUAVA-181",300,10,266.1551,0,0,0
"tardis","GUAVA-192",300,10,225.7599,0,0,0
"tardis","GUAVA-200",300,10,290.111,0,0,0
"tardis","GUAVA-231",300,10,90.259,0,0,0
"tardis","GUAVA-237",300,10,294.4158,0,0,0
"tardis","GUAVA-254",300,10,303.8204,0,0,0
"tardis","GUAVA-267",300,10,274.4483,0,0,0
"tardis","GUAVA-273",300,10,116.6724,0,0,0
"tardis","GUAVA-46",300,10,144.4667,0,0,0
"tardis","GUAVA-71",300,10,271.3864,0,0,0
"tardis","GUAVA-96",300,10,276.4779,0,0,0
"utbot","GUAVA-108",30,10,30.2542,0.380165292,0.217346943,0.437190081
"utbot","GUAVA-108",120,6,120.248166666667,0.462809918333333,0.42346939,0.58402204
"utbot","GUAVA-108",300,6,187.297,0.48071625,0.476190485,0.621212116666667
"utbot","GUAVA-11",30,10,11.9915,0.31914892,0.5,0.5609756
