benchmark,tool,runs,"budget",tgen,avgcovi,avgcovb,avgcovm
"ZXING-6","jtexpert",6,10,13.3,0.009,0.004,0.01
"ZXING-7","jtexpert",6,10,13.2,0.993,0.98,1
"ZXING-8","jtexpert",6,10,11.8,0.277,0.233,0.23
"ZXING-9","jtexpert",6,10,12.2,0.978,0.911,1
"DUBBO-10","randoop",6,60,1.3,0,0,0
"DUBBO-2","randoop",6,60,1.3,0,0,0
"DUBBO-3","randoop",6,60,65.5,0.698,0.67,0.512
"DUBBO-4","randoop",6,60,62.2,0.683,0.5,0.333
"DUBBO-5","randoop",6,60,62.5,0.969,0.944,0.916
"DUBBO-6","randoop",6,60,61.9,0.021,0.028,0.023
"DUBBO-7","randoop",6,60,63,1,0.958,1
"DUBBO-8","randoop",6,60,61.4,0.045,0.02,0.019
"DUBBO-9","randoop",6,60,61.7,0.784,0.671,0.677
"FASTJSON-10","randoop",6,60,66.4,0.066,0,0.034
"FASTJSON-1","randoop",6,60,1.4,0,0,0
"FASTJSON-2","randoop",6,60,63,0.384,0.291,0.322
"FASTJSON-3","randoop",6,60,62.3,0.178,0.114,0.015
"FASTJSON-4","randoop",6,60,62.4,0.857,0.611,0.5
"FASTJSON-5","randoop",6,60,61.4,0.011,0.004,0.012
"FASTJSON-6","randoop",6,60,63.5,0.111,0.135,0.09
"FASTJSON-7","randoop",6,60,63.7,0.791,0.706,0.797
"FASTJSON-8","randoop",6,60,64.4,0.748,0.628,0.263
"FASTJSON-9","randoop",6,60,61.6,0.135,0.125,0.144
"JSOUP-1","randoop",6,60,62.3,0.95,0.761,0.06
"JSOUP-2","randoop",6,60,61.3,0.21,0.232,0
"JSOUP-3","randoop",6,60,61.4,0.213,0.088,0.262
"JSOUP-4","randoop",6,60,61.7,0.951,0.9,0.8
"JSOUP-5","randoop",6,60,62.8,0.49,0.188,0.263
"OKIO-10","randoop",6,60,62.1,0.673,0.6,0.473
"OKIO-1","randoop",6,60,62,0.801,0.715,0.009
